action,project_id,file_ext,file_size,file_name,rel_path,reason,existing_ids,job_id
legacy_title_match,MAD,.docx,28886,RESUMEN CARPETAS Project.docx,0. GEMSWELL VENTURES SL/Project/RESUMEN CARPETAS Project.docx,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,d87446d1-3af8-43d5-80d9-3483cb6df92b,
missing,GVF,.docx,35810,Acta aprobación CCAA'24 GEMSWELL.DOCX,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Acta aprobación CCAA'24 GEMSWELL.DOCX,no source_hash or title/project match,,
missing,GVF,.pdf,421472,GEMSWELL VENTURES EE CC 2024.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Enviado Enric/GEMSWELL VENTURES EE CC 2024.pdf,no source_hash or title/project match,,
missing,GVF,.pdf,114024,GEMSWELL VENTURES HUELLA 2024.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Enviado Enric/GEMSWELL VENTURES HUELLA 2024.pdf,no source_hash or title/project match,,
missing,GVF,.pdf,497118,GEMSWELL VENTURES MEMORIA 2024.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Enviado Enric/GEMSWELL VENTURES MEMORIA 2024.pdf,no source_hash or title/project match,,
missing,GVF,.pdf,125771,Acta aprobación CCAA'24 GEMSWELL.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Acta aprobación CCAA'24 GEMSWELL.pdf,no source_hash or title/project match,,
missing,GVF,.pdf,2300305,CCAA 2024 Gemswell.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/CCAA 2024 Gemswell.pdf,no source_hash or title/project match,,
missing,GVF,.doc,51712,Certificado Jta aprobación CCAA'24 GEMSWELL.doc,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Certificado Jta aprobación CCAA'24 GEMSWELL.doc,no source_hash or title/project match,,
missing,GVF,.pdf,94025,Certificado Jta aprobación CCAA'24 GEMSWELL.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/Certificado Jta aprobación CCAA'24 GEMSWELL.pdf,no source_hash or title/project match,,
missing,GVF,.pdf,4607252,DTR GEMSWELL VENTURES S.L (002).pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2024/CCAA/Borradores/DTR GEMSWELL VENTURES S.L (002).pdf,no source_hash or title/project match,,
